TeamNumber,GameNumber,GStatNumber,GameDate,GameType,Location,Innings,HomeTeam,Opponent,OpponentTeamNumber,OpponentGStatNumber,DP,Runs,RunsInning1,RunsInning2,RunsInning3,RunsInning4,RunsInning5,RunsInning6,RunsInning7,RunsInning8,RunsInning9,RunsInningX,OppRuns,OppRunsInning1,OppRunsInning2,OppRunsInning3,OppRunsInning4,OppRunsInning5,OppRunsInning6,OppRunsInning7,OppRunsInning8,OppRunsInning9,OppRunsInningX,Notes
38,7,108,"02/09/11 00:00:00",1,"Buffalo Glen",6,0,"Mighty Ducks W11",36,0,0,7,1,0,4,0,2,0,0,0,0,0,22,5,2,1,5,5,4,0,0,0,0,
38,8,116,"02/11/11 00:00:00",1,"Buffalo Glen",7,0,"Bruins W11",39,0,0,19,2,1,3,1,5,5,2,0,0,0,15,0,0,5,5,5,0,0,0,0,0,
38,9,120,"02/16/11 00:00:00",1,"Buffalo Glen",7,0,"Wings W11",44,0,0,17,0,6,4,5,1,1,0,0,0,0,6,4,1,1,0,0,0,0,0,0,0,
38,10,142,"02/23/11 00:00:00",1,"Buffalo Glen",8,0,"Canucks W11",40,0,0,12,1,1,1,1,4,0,0,4,0,0,13,5,0,1,0,1,1,0,5,0,0,
38,11,145,"02/25/11 00:00:00",1,"Buffalo Glen",7,1,"Avalanche W11",37,0,0,7,0,0,1,2,3,0,1,0,0,0,19,0,5,0,2,1,0,11,0,0,0,
38,12,152,"03/02/11 00:00:00",1,"Buffalo Glen",7,0,"Vipers W11",43,0,0,31,1,5,5,5,5,5,5,0,0,0,18,3,0,5,2,2,6,0,0,0,0,
38,13,161,"03/04/11 00:00:00",1,"Buffalo Glen",7,1,"Panthers W11",42,0,0,3,1,0,1,1,0,0,0,0,0,0,15,5,1,2,1,5,1,0,0,0,0,
38,14,172,"03/09/11 00:00:00",1,"Buffalo Glen",5,0,"Flames W11",41,0,0,1,0,0,0,1,0,0,0,0,0,0,18,5,6,3,4,0,0,0,0,0,0,
38,15,177,"03/11/11 00:00:00",1,"Buffalo Glen",7,1,"Mighty Ducks W11",36,0,0,16,2,5,0,5,0,4,0,0,0,0,14,1,3,5,2,3,0,0,0,0,0,
38,16,189,"03/16/11 00:00:00",1,"Buffalo Glen",7,1,"Bruins W11",39,0,0,17,4,1,3,1,3,5,0,0,0,0,15,2,5,1,5,0,2,0,0,0,0,
